words,document_3,document_2,document_1,document_5,document_4,document_6,document_7,document_11,document_10,document_12,document_13,document_17,document_16,document_14,document_15,document_18,document_19,document_20,document_9,document_8
shouted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Commons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
remainder,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
fatty,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
presidential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
afternoon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
slang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Adlai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
worshippers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
righteousness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rulings,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
truths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Yono-class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
absolute,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
behavior,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,2,1,0,0
simultaneously,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
sponsors,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shipboard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
continental,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hierarchical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Album,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fastest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gato,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advisers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
shaped,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polymerized,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suggesting,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
experience,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0
publicly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1
invest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Considerations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
features,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
guanine,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pui,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
