	words	document_8	document_6	document_19	document_20	document_3	document_12	document_1	document_4	document_9	document_14	document_15	document_2	document_11	document_5	document_7	document_16	document_18	document_13	document_17	document_10
185	had	37	2	55	58	0	0	2	0	0	0	3	0	0	6	4	8	0	0	4	0
186	kilogram	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
187	depend	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
188	marketed	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
189	the	449	356	818	868	24	51	248	322	22	8	224	275	76	538	222	98	16	21	76	24
190	costs	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	put	3	0	3	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
192	lips	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193	teaspoon	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194	Brackett	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
195	stand	0	0	3	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
196	Nicolas-Louis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197	essence	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
198	remain	0	0	1	4	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0
199	can	1	56	9	2	0	0	5	14	0	0	12	7	2	10	0	0	0	0	0	0
200	Relating	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	supplemented	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
202	Sneyd	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	urging	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	attending	0	1	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
205	sea	3	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
206	negotiated	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
207	pose	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208	registered	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
209	social	0	10	5	13	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2
210	Norse	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
211	al	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0
212	breweries	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
213	frills	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
214	mill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
215	selection	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
216	revocation	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217	generation	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
218	sweat	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
219	signal	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
220	veterinarian	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
221	Fisch	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
222	condensation	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
223	nursing	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224	destroy	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
225	altering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
226	relatives	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
227	culture	0	0	2	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
228	Crow	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
229	treasuries	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230	Of	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
231	likely	0	4	3	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0
232	Castiglione	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
233	stirred	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
234	producing	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
235	S	14	0	16	23	1	1	0	5	0	0	4	0	12	1	1	4	0	2	0	0
236	feared	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237	employee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
238	casualties	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239	brotherhood	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240	watched	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
241	stride	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
242	progenitor	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	gummed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
244	carnivores	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245	Ridentius	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
246	grunting	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
247	motor	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
248	square	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
249	merchantmen	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250	strengthens	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
251	Hirsch	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
252	Human	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
253	Liberty	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
